season_end_year,game_id,game_date,matchup,result,team_points,team_plus_minus,team_source_url,franchise
2002,20100575,2002-01-21,CHI vs. IND,L,81,-12,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND
2002,20100564,2002-01-19,CHI vs. WAS,L,69,-8,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2002,20100545,2002-01-17,CHI @ ATL,W,94,3,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2002,20100533,2002-01-15,CHI vs. CHH,L,86,-8,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2002,20100514,2002-01-12,CHI vs. LAL,W,106,2,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAL
2002,20100502,2002-01-11,CHI @ IND,L,90,-7,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND
2002,20100493,2002-01-09,CHI vs. TOR,L,73,-12,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2002,20100477,2002-01-07,CHI vs. SEA,L,88,-12,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,OKC
2002,20100462,2002-01-05,CHI vs. UTA,L,111,-2,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,UTA
2002,20100447,2002-01-04,CHI @ WAS,L,83,-6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2002,20100438,2002-01-02,CHI vs. DAL,L,97,-10,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DAL
2002,20100430,2001-12-31,CHI vs. MIL,W,90,7,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2002,20100418,2001-12-29,CHI vs. CLE,W,103,23,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2002,20100403,2001-12-27,CHI @ DAL,L,74,-15,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DAL
2002,20100393,2001-12-26,CHI @ MEM,L,85,-22,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MEM
2002,20100375,2001-12-22,CHI vs. MIN,L,74,-21,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIN
2002,20100357,2001-12-20,CHI @ TOR,L,91,-5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2002,20100339,2001-12-18,CHI @ CLE,L,84,-18,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2002,20100323,2001-12-15,CHI vs. ATL,L,79,-1,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2002,20100315,2001-12-14,CHI @ BOS,L,101,-6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2002,20100296,2001-12-11,CHI vs. NJN,L,93,-14,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2002,20100280,2001-12-08,CHI vs. BOS,W,87,3,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2002,20100266,2001-12-07,CHI @ IND,L,83,-15,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND
2002,20100255,2001-12-05,CHI @ ORL,L,74,-28,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2002,20100250,2001-12-04,CHI vs. HOU,W,103,28,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,HOU
2002,20100231,2001-12-01,CHI vs. PHI,L,76,-17,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2002,20100216,2001-11-29,CHI vs. MIA,W,78,6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2002,20100198,2001-11-27,CHI @ NJN,L,68,-32,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2002,20100179,2001-11-24,CHI @ NYK,L,71,-7,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2002,20100159,2001-11-21,CHI @ MIL,L,92,-4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2002,20100139,2001-11-17,CHI @ GSW,L,88,-5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,GSW
2002,20100128,2001-11-16,CHI @ SAC,L,71,-34,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAC
2002,20100114,2001-11-14,CHI @ LAC,L,102,-4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAC
