game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url,source_opponent,franchise
20100357,2001-12-20,CHI @ TOR,L,91,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20100339,2001-12-18,CHI @ CLE,L,84,-18,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20100323,2001-12-15,CHI vs. ATL,L,79,-1,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20100315,2001-12-14,CHI @ BOS,L,101,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20100296,2001-12-11,CHI vs. NJN,L,93,-14,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20100280,2001-12-08,CHI vs. BOS,W,87,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20100266,2001-12-07,CHI @ IND,L,83,-15,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20100255,2001-12-05,CHI @ ORL,L,74,-28,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20100250,2001-12-04,CHI vs. HOU,W,103,28,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,HOU,HOU
20100231,2001-12-01,CHI vs. PHI,L,76,-17,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20100216,2001-11-29,CHI vs. MIA,W,78,6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20100198,2001-11-27,CHI @ NJN,L,68,-32,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20100179,2001-11-24,CHI @ NYK,L,71,-7,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
