loc_x,loc_y,shot_distance,shot_made,shot_type
1,53,5,True,2PT
-21,17,2,True,2PT
39,13,4,False,2PT
-33,5,3,True,2PT
-2,78,7,True,2PT
21,9,2,True,2PT
39,31,4,True,2PT
0,-6,0,True,2PT
170,189,25,True,3PT
-16,5,1,True,2PT
-173,180,24,False,3PT
235,-6,23,False,3PT
-227,-20,22,False,3PT
-2,15,1,True,2PT
-238,37,24,False,3PT
-2,11,1,True,2PT
6,13,1,True,2PT
-3,102,10,True,2PT
32,60,6,False,2PT
-6,13,1,True,2PT
-10,25,2,False,2PT
2,112,11,True,2PT
2,11,1,False,2PT
-1,18,1,True,2PT
15,14,2,False,2PT
12,14,1,False,2PT
-11,16,1,False,2PT
227,15,22,False,3PT
-12,11,1,True,2PT
-6,2,0,True,2PT
-18,12,2,False,2PT
-2,28,2,False,2PT
78,238,25,True,3PT
-238,32,24,True,3PT
-13,8,1,False,2PT
-9,9,1,True,2PT
-23,4,2,False,2PT
-10,4,1,True,2PT
-227,-22,22,False,3PT
7,2,0,True,2PT
-2,12,1,False,2PT
-4,73,7,True,2PT
12,5,1,False,2PT
0,0,0,True,2PT
2,0,0,True,2PT
20,8,2,False,2PT
5,75,7,False,2PT
44,85,9,True,2PT
158,215,26,False,3PT
-1,1,0,True,2PT
66,6,6,True,2PT
16,4,1,True,2PT
92,246,26,False,3PT
114,242,26,False,3PT
-33,34,4,False,2PT
-13,44,4,True,2PT
-49,49,6,False,2PT
11,17,2,False,2PT
-21,23,3,True,2PT
224,106,24,True,3PT
66,17,6,False,2PT
-10,36,3,True,2PT
0,22,2,True,2PT
12,13,1,True,2PT
-25,5,2,False,2PT
-21,15,2,True,2PT
-235,83,24,False,3PT
11,15,1,True,2PT
-7,15,1,True,2PT
-235,1,23,False,3PT
-21,17,2,True,2PT
-15,10,1,True,2PT
-15,10,1,False,2PT
210,-5,21,False,2PT
-17,14,2,True,2PT
-207,136,24,False,3PT
-21,13,2,False,2PT
27,5,2,True,2PT
-225,13,22,False,3PT
21,26,3,False,2PT
232,16,23,False,3PT
-13,26,2,True,2PT
26,20,3,True,2PT
-229,18,22,True,3PT
33,13,3,True,2PT
21,15,2,True,2PT
0,8,0,True,2PT
23,16,2,False,2PT
-67,37,7,True,2PT
-181,181,25,True,3PT
-42,105,11,False,2PT
10,5,1,False,2PT
0,8,0,True,2PT
97,225,24,True,3PT
1,8,0,True,2PT
60,61,8,True,2PT
-89,235,25,False,3PT
11,101,10,True,2PT
-6,-1,0,True,2PT
6,57,5,False,2PT
-69,46,8,True,2PT
-4,12,1,True,2PT
-1,59,5,False,2PT
-5,6,0,True,2PT
-10,7,1,True,2PT
-15,10,1,True,2PT
-16,6,1,False,2PT
-6,10,1,True,2PT
-7,43,4,False,2PT
183,178,25,True,3PT
-12,54,5,False,2PT
-5,13,1,True,2PT
-16,5,1,True,2PT
-25,-1,2,True,2PT
16,19,2,True,2PT
-232,-21,23,False,3PT
