hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
27.7778,300.0000,1,False,False,147,39.4558,3647,34.5489,4.9068,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,-50.0000,0,False,False,3,66.6667,98,42.8571,23.8095,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,-15.0000,1,False,False,354,44.0678,9738,53.9844,-9.9166,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,20.0000,43,True,False,790,45.4430,22940,52.1927,-6.7496,True,below,127.0250,0.5818
55.5556,55.0000,30,True,False,437,39.3593,15370,44.0403,-4.6811,True,below,127.0250,0.4860
55.5556,90.0000,11,True,False,187,46.5241,9354,43.8957,2.6284,True,above,127.0250,0.2943
55.5556,125.0000,2,False,False,70,38.5714,6316,44.8068,-6.2354,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,160.0000,2,False,False,32,40.6250,3814,43.2617,-2.6367,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,195.0000,1,False,False,27,37.0370,1745,40.5158,-3.4787,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
55.5556,230.0000,4,True,False,305,34.0984,7385,34.7867,-0.6884,True,approximately average,127.0250,0.2500
55.5556,265.0000,29,True,False,333,35.4354,8484,34.6535,0.7820,True,approximately average,127.0250,0.4778
55.5556,300.0000,0,False,False,60,35.0000,2482,33.1990,1.8010,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
83.3333,-50.0000,0,False,False,5,40.0000,141,43.2624,-3.2624,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
83.3333,-15.0000,3,True,False,84,33.3333,2335,42.2698,-8.9365,True,well below,127.0250,0.2500
83.3333,20.0000,18,True,False,205,38.5366,6819,42.4402,-3.9037,True,below,127.0250,0.3764
83.3333,55.0000,5,True,False,162,42.5926,6970,41.9943,0.5983,True,approximately average,127.0250,0.2500
83.3333,90.0000,4,True,False,69,44.9275,5672,44.2525,0.6751,True,approximately average,127.0250,0.2500
83.3333,125.0000,3,True,False,35,34.2857,4782,43.2037,-8.9180,True,well below,127.0250,0.2500
83.3333,160.0000,3,True,False,21,14.2857,3118,40.5067,-26.2210,True,well below,127.0250,0.2500
83.3333,195.0000,2,False,False,91,35.1648,3050,35.4098,-0.2450,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
83.3333,230.0000,38,True,False,361,36.0111,9700,34.0309,1.9802,True,approximately average,127.0250,0.5469
83.3333,265.0000,16,True,False,315,35.8730,8850,33.9096,1.9634,True,approximately average,127.0250,0.3549
83.3333,300.0000,0,False,False,38,21.0526,1706,31.2427,-10.1900,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,-50.0000,0,False,False,2,0.0000,187,48.1283,-48.1283,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,-15.0000,0,False,False,41,53.6585,1696,44.0448,9.6137,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,20.0000,8,True,False,89,50.5618,3477,42.8243,7.7375,True,well above,127.0250,0.2510
111.1111,55.0000,3,True,False,65,52.3077,3622,43.0701,9.2376,True,well above,127.0250,0.2500
111.1111,90.0000,4,True,False,30,53.3333,3222,43.4823,9.8510,True,well above,127.0250,0.2500
111.1111,125.0000,1,False,False,21,28.5714,3169,42.7895,-14.2181,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,160.0000,0,False,False,16,12.5000,2322,39.9655,-27.4655,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,195.0000,2,False,False,266,34.9624,7433,34.9388,0.0236,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
111.1111,230.0000,78,True,False,432,36.1111,11692,34.1858,1.9253,True,approximately average,127.0250,0.7836
111.1111,265.0000,3,True,False,311,36.0129,8944,33.8104,2.2025,True,approximately average,127.0250,0.2500
111.1111,300.0000,1,False,False,16,37.5000,1008,32.6389,4.8611,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,-50.0000,0,False,False,1,0.0000,177,44.0678,-44.0678,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,-15.0000,0,False,False,23,56.5217,1329,44.0933,12.4284,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,20.0000,2,False,False,36,55.5556,2273,43.6868,11.8688,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,55.0000,3,True,False,28,57.1429,2159,44.3261,12.8168,True,well above,127.0250,0.2500
138.8889,90.0000,1,False,False,17,41.1765,1939,42.7024,-1.5260,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,125.0000,0,False,False,15,26.6667,1870,42.6203,-15.9537,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,160.0000,4,True,False,85,31.7647,3311,37.2999,-5.5352,True,below,127.0250,0.2500
