season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
1996-97,893,Michael Jordan,3222,53,Mario Elie,1542,1761,256,not_above
1996-97,893,Michael Jordan,3222,1361,Mark Bradtke,73,78,6,not_above
1996-97,893,Michael Jordan,3222,95,Mark Bryant,476,507,31,not_above
1996-97,893,Michael Jordan,3222,707,Mark Davis,916,995,91,not_above
1996-97,893,Michael Jordan,3222,971,Mark Hendrickson,91,92,1,not_above
1996-97,893,Michael Jordan,3222,349,Mark Jackson,2798,3006,438,not_above
1996-97,893,Michael Jordan,3222,899,Mark Price,1488,1676,266,not_above
1996-97,893,Michael Jordan,3222,1110,Mark Strickland,64,64,0,not_above
1996-97,893,Michael Jordan,3222,770,Mark West,269,278,9,not_above
1996-97,893,Michael Jordan,3222,729,Martin Lewis,22,24,2,not_above
1996-97,893,Michael Jordan,3222,982,Martin Muursepp,198,214,16,not_above
1996-97,893,Michael Jordan,3222,55,Marty Conlon,790,851,62,not_above
1996-97,893,Michael Jordan,3222,672,Matt Bullard,455,510,56,not_above
1996-97,893,Michael Jordan,3222,900,Matt Fish,2,2,0,not_above
1996-97,893,Michael Jordan,3222,761,Matt Geiger,516,542,26,not_above
1996-97,893,Michael Jordan,3222,1074,Matt Maloney,1382,1601,259,not_above
1996-97,893,Michael Jordan,3222,1099,Matt Steigenga,7,7,0,not_above
1996-97,893,Michael Jordan,3222,511,Melvin Booker,229,270,50,not_above
1996-97,893,Michael Jordan,3222,262,Michael Cage,241,272,31,not_above
1996-97,893,Michael Jordan,3222,688,Michael Curry,408,429,21,not_above
1996-97,893,Michael Jordan,3222,714,Michael Finley,1706,1836,182,not_above
1996-97,893,Michael Jordan,3222,1138,Michael Hawkins,209,259,52,not_above
1996-97,893,Michael Jordan,3222,63,Michael Smith,921,1073,159,not_above
1996-97,893,Michael Jordan,3222,1479,Mike Brown,28,31,3,not_above
1996-97,893,Michael Jordan,3222,782,Mitch Richmond,2781,2917,271,not_above
1996-97,893,Michael Jordan,3222,348,Mitchell Butler,210,225,16,not_above
1996-97,893,Michael Jordan,3222,42,Monty Williams,771,843,80,not_above
1996-97,893,Michael Jordan,3222,983,Moochie Norris,58,70,23,not_above
1996-97,893,Michael Jordan,3222,302,Mookie Blaylock,2317,2555,325,not_above
1996-97,893,Michael Jordan,3222,177,Muggsy Bogues,1476,1747,398,not_above
1996-97,893,Michael Jordan,3222,1041,Nate Driggers,50,52,2,not_above
1996-97,893,Michael Jordan,3222,203,Nate McMillan,458,530,82,not_above
1996-97,893,Michael Jordan,3222,98,Nick Anderson,1127,1264,150,not_above
1996-97,893,Michael Jordan,3222,89,Nick Van Exel,2677,2678,1,not_above
1996-97,893,Michael Jordan,3222,178,Olden Polynice,1389,1525,149,not_above
1996-97,893,Michael Jordan,3222,932,Oliver Miller,477,522,46,not_above
1996-97,893,Michael Jordan,3222,970,Othella Harrington,309,320,11,not_above
1996-97,893,Michael Jordan,3222,901,Otis Thorpe,1325,1377,55,not_above
1996-97,893,Michael Jordan,3222,136,P.J. Brown,980,984,4,not_above
1996-97,893,Michael Jordan,3222,121,Patrick Ewing,2078,2205,133,not_above
1996-97,893,Michael Jordan,3222,442,Pervis Ellison,23,26,3,not_above
1996-97,893,Michael Jordan,3222,432,Pete Chilcutt,278,320,43,not_above
1996-97,893,Michael Jordan,3222,71,Pooh Richardson,671,769,140,not_above
1996-97,893,Michael Jordan,3222,461,Popeye Jones,803,816,13,not_above
1996-97,893,Michael Jordan,3222,968,Priest Lauderdale,135,147,12,not_above
1996-97,893,Michael Jordan,3222,912,Rafael Addison,196,224,28,not_above
1996-97,893,Michael Jordan,3222,719,Randolph Childress,74,86,12,not_above
1996-97,893,Michael Jordan,3222,753,Randy Brown,640,640,0,not_above
1996-97,893,Michael Jordan,3222,988,Randy Livingston,564,691,129,not_above
1996-97,893,Michael Jordan,3222,739,Rasheed Wallace,1092,1138,46,not_above
1996-97,893,Michael Jordan,3222,951,Ray Allen,1526,1623,156,not_above
1996-97,893,Michael Jordan,3222,1077,Ray Owes,209,219,10,not_above
1996-97,893,Michael Jordan,3222,1002,Reggie Geary,133,148,15,not_above
1996-97,893,Michael Jordan,3222,674,Reggie Jordan,65,73,8,not_above
1996-97,893,Michael Jordan,3222,397,Reggie Miller,2307,2417,196,not_above
1996-97,893,Michael Jordan,3222,1073,Reggie Slater,249,252,3,not_above
1996-97,893,Michael Jordan,3222,199,Reggie Williams,96,102,8,not_above
1996-97,893,Michael Jordan,3222,364,Rex Chapman,1272,1366,120,not_above
1996-97,893,Michael Jordan,3222,777,Rex Walters,634,689,72,not_above
1996-97,893,Michael Jordan,3222,316,Richard Manning,81,84,3,not_above
1996-97,893,Michael Jordan,3222,296,Rick Fox,1761,1894,159,not_above
1996-97,893,Michael Jordan,3222,328,Rick Mahorn,69,71,2,not_above
1996-97,893,Michael Jordan,3222,894,Ricky Pierce,824,879,57,not_above
1996-97,893,Michael Jordan,3222,22,Rik Smits,1029,1074,47,not_above
1996-97,893,Michael Jordan,3222,109,Robert Horry,654,694,41,not_above
1996-97,893,Michael Jordan,3222,123,Robert Pack,1695,1871,352,not_above
1996-97,893,Michael Jordan,3222,305,Robert Parish,209,209,0,not_above
