season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
2011-12,201600,Asik,10,11,0,0,5,Omer Asik,66,1733,11,0.634737449509521,,,,0
2011-12,201959,Gibson,9,9,0,0,7,Taj Gibson,63,2328,9,0.3865979381443299,149.0,9.0,0.0,0
2011-12,202710,Butler III,3,4,0,0,2,Jimmy Butler,42,657,4,0.60882800608828,256.0,4.0,0.0,0
2012-13,1737,Mohammed,3,3,0,0,3,Nazr Mohammed,63,1263,3,0.2375296912114014,292.0,3.0,0.0,0
2012-13,1888,Hamilton,3,3,0,0,2,Richard Hamilton,50,2039,3,0.14713094654242276,292.0,3.0,0.0,0
2012-13,2209,Radmanovic,1,1,0,0,0,Vladimir Radmanovic,25,269,1,0.37174721189591076,363.0,1.0,0.0,0
2012-13,2430,Boozer,29,40,0,0,30,Carlos Boozer,79,4755,40,0.8412197686645636,13.0,40.0,0.0,0
2012-13,2550,Hinrich,4,4,1,0,2,Kirk Hinrich,60,3327,4,0.12022843402464684,268.0,4.0,0.0,0
2012-13,2736,Deng,24,26,0,0,22,Luol Deng,75,5450,26,0.47706422018348627,45.0,26.0,0.0,0
2012-13,101126,Robinson,8,8,1,0,8,Nate Robinson,82,3883,8,0.20602626834921453,179.0,9.0,-1.0,0
2012-13,201149,Noah,12,15,0,0,13,Joakim Noah,66,4543,15,0.3301782962799912,104.0,16.0,-1.0,0
2012-13,201158,Belinelli,10,11,2,0,9,Marco Belinelli,73,3485,11,0.31563845050215206,154.0,11.0,0.0,0
2012-13,201161,Cook,2,2,1,0,2,Daequan Cook,33,520,2,0.38461538461538464,326.0,2.0,0.0,0
2012-13,201959,Gibson,14,16,0,0,10,Taj Gibson,65,2666,16,0.6001500375093773,104.0,16.0,0.0,0
2012-13,202710,Butler III,15,19,1,0,18,Jimmy Butler,82,3928,19,0.48370672097759676,84.0,19.0,0.0,0
2013-14,1737,Mohammed,4,4,0,0,1,Nazr Mohammed,80,1020,4,0.39215686274509803,286.0,4.0,0.0,0
2013-14,2399,Dunleavy,6,6,0,0,5,Mike Dunleavy,82,4854,6,0.12360939431396786,240.0,6.0,0.0,0
2013-14,2430,Boozer,14,17,0,0,15,Carlos Boozer,76,4077,17,0.41697326465538387,108.0,17.0,0.0,0
2013-14,2550,Hinrich,5,5,0,0,4,Kirk Hinrich,73,3967,5,0.12603982858583312,255.0,5.0,0.0,0
2013-14,2736,Deng,11,13,0,0,7,Luol Deng,23,1618,13,0.8034610630407911,58.0,13.0,0.0,0
2013-14,201149,Noah,22,30,0,0,20,Joakim Noah,80,5263,30,0.5700171005130154,44.0,30.0,0.0,0
2013-14,201565,Rose,3,3,0,0,2,Derrick Rose,10,605,3,0.49586776859504134,306.0,3.0,0.0,0
2013-14,201571,Augustin,11,12,2,0,10,D.J. Augustin,61,3452,12,0.34762456546929316,151.0,12.0,0.0,0
2013-14,201959,Gibson,21,28,0,0,19,Taj Gibson,82,4344,28,0.6445672191528545,55.0,28.0,0.0,0
2013-14,202710,Butler III,17,22,1,0,18,Jimmy Butler,67,4826,22,0.45586406962287607,80.0,22.0,0.0,0
2013-14,203104,Teague,2,2,0,0,1,Marquis Teague,19,442,2,0.45248868778280543,306.0,2.0,0.0,0
