season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified
2009-10,2010,1802,Brad Miller,45,82,0.5487804878048781,939.6583333333332,347,7.711111111111111,20.88129629629629,719,False
2009-10,2010,201181,Chris Richard,18,18,1.0,223.68,37,2.0555555555555554,12.426666666666668,37,True
2009-10,2010,2484,Devin Brown,11,11,1.0,92.81,20,1.8181818181818181,8.437272727272727,20,True
2009-10,2010,2436,Flip Murray,28,29,0.9655172413793104,642.1416666666667,267,9.535714285714286,22.933630952380952,292,True
2009-10,2010,101124,Hakim Warrick,28,28,1.0,532.76,243,8.678571428571429,19.027142857142856,243,True
2009-10,2010,201949,James Johnson,54,65,0.8307692307692308,487.55833333333334,151,2.7962962962962963,9.028858024691358,256,True
2009-10,2010,2457,Jannero Pargo,58,63,0.9206349206349206,671.9633333333334,270,4.655172413793103,11.585574712643679,344,True
2009-10,2010,201149,Joakim Noah,10,64,0.15625,142.36166666666668,62,6.2,14.236166666666668,687,False
2009-10,2010,201570,Joe Alexander,8,8,1.0,28.898333333333333,4,0.5,3.6122916666666667,4,True
2009-10,2010,2422,John Salmons,23,51,0.45098039215686275,662.9433333333334,262,11.391304347826088,28.8236231884058,649,False
2009-10,2010,2550,Kirk Hinrich,21,74,0.28378378378378377,615.945,178,8.476190476190476,29.330714285714286,805,False
2009-10,2010,283,Lindsey Hunter,13,13,1.0,121.815,13,1.0,9.370384615384616,13,True
2009-10,2010,2736,Luol Deng,1,70,0.014285714285714285,27.8,14,14.0,27.8,1230,False
2009-10,2010,201959,Taj Gibson,12,82,0.14634146341463414,292.54333333333335,114,9.5,24.378611111111113,735,False
2009-10,2010,200748,Tyrus Thomas,26,29,0.896551724137931,606.9716666666667,229,8.807692307692308,23.345064102564102,256,True
2010-11,2011,2243,Brian Scalabrine,18,18,1.0,87.97833333333334,20,1.1111111111111112,4.887685185185186,20,True
2010-11,2011,201228,C.J. Watson,81,82,0.9878048780487805,1046.9666666666667,372,4.592592592592593,12.925514403292182,405,True
2010-11,2011,201949,James Johnson,13,13,1.0,122.67,42,3.230769230769231,9.436153846153847,42,True
2010-11,2011,101249,John Lucas III,2,2,1.0,10.106666666666667,2,1.0,5.053333333333334,2,True
2010-11,2011,703,Kurt Thomas,15,52,0.28846153846153844,123.86166666666666,19,1.2666666666666666,8.257444444444443,211,False
2010-11,2011,2594,Kyle Korver,82,82,1.0,1649.1233333333332,681,8.304878048780488,20.111260162601624,681,True
2010-11,2011,201600,Omer Asik,82,82,1.0,989.4483333333334,229,2.792682926829268,12.066443089430894,229,True
2010-11,2011,2446,Rasual Butler,6,6,1.0,25.721666666666668,16,2.6666666666666665,4.286944444444445,16,True
2010-11,2011,200758,Ronnie Brewer,80,81,0.9876543209876543,1756.5016666666668,500,6.25,21.956270833333335,503,True
2010-11,2011,201959,Taj Gibson,61,80,0.7625,1219.5666666666666,376,6.163934426229508,19.992896174863386,569,True
2011-12,2012,2243,Brian Scalabrine,28,28,1.0,122.11666666666666,32,1.1428571428571428,4.361309523809523,32,True
2011-12,2012,201228,C.J. Watson,24,49,0.4897959183673469,428.80833333333334,192,8.0,17.867013888888888,474,False
2011-12,2012,202710,Jimmy Butler III,42,42,1.0,359.0316666666667,109,2.5952380952380953,8.548373015873016,109,True
2011-12,2012,101249,John Lucas III,47,49,0.9591836734693877,660.2666666666667,336,7.148936170212766,14.048226950354609,369,True
2011-12,2012,2594,Kyle Korver,58,65,0.8923076923076924,1209.715,429,7.396551724137931,20.85715517241379,529,True
2011-12,2012,2229,Mike James,11,11,1.0,120.255,53,4.818181818181818,10.932272727272727,53,True
2011-12,2012,201600,Omer Asik,64,66,0.9696969696969697,899.5033333333333,195,3.046875,14.054739583333333,205,True
2011-12,2012,200758,Ronnie Brewer,23,66,0.3484848484848485,417.66,133,5.782608695652174,18.15913043478261,455,False
2011-12,2012,201959,Taj Gibson,63,63,1.0,1284.4566666666667,484,7.682539682539683,20.38820105820106,484,True
2012-13,2013,201161,Daequan Cook,33,33,1.0,275.66333333333336,82,2.484848484848485,8.353434343434344,82,True
2012-13,2013,202710,Jimmy Butler III,62,82,0.7560975609756098,1268.7333333333331,415,6.693548387096774,20.46344086021505,705,True
2012-13,2013,201149,Joakim Noah,2,66,0.030303030303030304,28.7,6,3.0,14.35,784,False
2012-13,2013,200811,Lou Amundson,1,1,1.0,1.6833333333333331,0,0.0,1.6833333333333331,0,True
2012-13,2013,202952,Malcolm Thomas,7,7,1.0,35.781666666666666,12,1.7142857142857142,5.111666666666666,12,True
