SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2018-19,1629102,Brandon Sampson,14,60,4,3,56,0.06666666666666667,0.2857142857142857,0.75,1.5,0,126
2025-26,1631159,Leonard Miller,27,229,5,3,224,0.021834061135371178,0.18518518518518517,0.6,1.2,0,126
2023-24,1629750,Javonte Green,9,75,5,3,70,0.06666666666666667,0.5555555555555556,0.6,1.2,0,126
2022-23,1627884,Derrick Jones Jr.,64,230,5,3,225,0.021739130434782608,0.078125,0.6,1.2,0,126
2018-19,203960,JaKarr Sampson,4,54,5,3,49,0.09259259259259259,1.25,0.6,1.2,0,126
2024-25,1628366,Lonzo Ball,35,243,6,3,237,0.024691358024691357,0.17142857142857143,0.5,1.0,1,126
2022-23,1629750,Javonte Green,32,108,6,3,102,0.05555555555555555,0.1875,0.5,1.0,0,126
2021-22,1630172,Patrick Williams,17,102,6,3,96,0.058823529411764705,0.35294117647058826,0.5,1.0,0,126
2017-18,1627770,Kay Felder,14,66,6,3,60,0.09090909090909091,0.42857142857142855,0.5,1.0,0,126
2016-17,1627835,Paul Zipser,44,221,8,3,213,0.03619909502262444,0.18181818181818182,0.375,0.75,1,126
2022-23,201976,Patrick Beverley,22,119,9,3,110,0.07563025210084033,0.4090909090909091,0.3333333333333333,0.6666666666666666,0,126
2021-22,1627884,Derrick Jones Jr.,51,195,9,3,186,0.046153846153846156,0.17647058823529413,0.3333333333333333,0.6666666666666666,0,126
2020-21,1627853,Ryan Arcidiacono,44,117,10,3,107,0.08547008547008547,0.22727272727272727,0.3,0.6,0,126
2017-18,203897,Zach LaVine,24,355,10,3,345,0.028169014084507043,0.4166666666666667,0.3,0.6,0,126
2017-18,203930,Sean Kilpatrick,9,107,12,3,95,0.11214953271028037,1.3333333333333333,0.25,0.5,0,126
2017-18,1627835,Paul Zipser,54,234,14,3,220,0.05982905982905983,0.25925925925925924,0.21428571428571427,0.42857142857142855,0,126
2024-25,1630604,E.J. Liddell,12,15,2,2,13,0.13333333333333333,0.16666666666666666,1.0,2.0,0,142
2019-20,1629655,Daniel Gafford,43,134,3,2,131,0.022388059701492536,0.06976744186046512,0.6666666666666666,1.3333333333333333,0,142
2017-18,1627853,Ryan Arcidiacono,24,41,3,2,38,0.07317073170731707,0.125,0.6666666666666666,1.3333333333333333,1,142
2017-18,203943,Noah Vonleh,21,138,4,2,134,0.028985507246376812,0.19047619047619047,0.5,1.0,0,142
2015-16,2550,Kirk Hinrich,35,118,5,2,113,0.0423728813559322,0.14285714285714285,0.4,0.8,0,142
2015-16,201959,Taj Gibson,73,500,5,2,495,0.01,0.0684931506849315,0.4,0.8,0,142
2024-25,1630188,Jalen Smith,64,408,6,2,402,0.014705882352941176,0.09375,0.3333333333333333,0.6666666666666666,0,142
2018-19,1626245,Cristiano Felicio,60,179,6,2,173,0.0335195530726257,0.1,0.3333333333333333,0.6666666666666666,0,142
2025-26,1627824,Guerschon Yabusele,26,205,7,2,198,0.03414634146341464,0.2692307692307692,0.2857142857142857,0.5714285714285714,0,142
2015-16,1626171,Bobby Portis Jr.,62,436,7,2,429,0.016055045871559634,0.11290322580645161,0.2857142857142857,0.5714285714285714,0,142
2018-19,203200,Justin Holiday,38,394,8,2,386,0.02030456852791878,0.21052631578947367,0.25,0.5,0,142
2015-16,202703,Nikola Mirotic,66,609,8,2,601,0.013136288998357963,0.12121212121212122,0.25,0.5,0,142
2025-26,1630208,Nick Richards,20,130,9,2,121,0.06923076923076923,0.45,0.2222222222222222,0.4444444444444444,0,142
2021-22,1628366,Lonzo Ball,35,383,9,2,374,0.02349869451697128,0.2571428571428571,0.2222222222222222,0.4444444444444444,0,142
2024-25,1641763,Julian Phillips,79,287,10,2,277,0.03484320557491289,0.12658227848101267,0.2,0.4,0,142
2025-26,1631093,Jaden Ivey,4,36,1,1,35,0.027777777777777776,0.25,1.0,2.0,0,157
2024-25,1628470,Torrey Craig,9,45,1,1,44,0.022222222222222223,0.1111111111111111,1.0,2.0,0,157
2024-25,1630537,Chris Duarte,17,26,1,1,25,0.038461538461538464,0.058823529411764705,1.0,2.0,0,157
2024-25,1641766,Adama Sanogo,4,7,1,1,6,0.14285714285714285,0.25,1.0,2.0,0,157
2024-25,1642443,Jahmir Young,6,5,1,1,4,0.2,0.16666666666666666,1.0,2.0,0,157
2022-23,1631207,Dalen Terry,38,72,1,1,71,0.013888888888888888,0.02631578947368421,1.0,2.0,0,157
2020-21,202329,Al-Farouq Aminu,6,10,1,1,9,0.1,0.16666666666666666,1.0,2.0,0,157
2020-21,1628972,Troy Brown Jr.,13,55,1,1,54,0.01818181818181818,0.07692307692307693,1.0,2.0,0,157
2020-21,1628990,Chandler Hutchison,7,18,1,1,17,0.05555555555555555,0.14285714285714285,1.0,2.0,0,157
2017-18,202347,Quincy Pondexter,23,49,1,1,48,0.02040816326530612,0.043478260869565216,1.0,2.0,0,157
2016-17,1626245,Cristiano Felicio,66,221,1,1,220,0.004524886877828055,0.015151515151515152,1.0,2.0,0,157
2025-26,1641763,Julian Phillips,35,88,2,1,86,0.022727272727272728,0.05714285714285714,0.5,1.0,0,157
2025-26,1641801,Emanuel Miller,5,13,2,1,11,0.15384615384615385,0.4,0.5,1.0,0,157
2022-23,1630250,Marko Simonovic,7,7,2,1,5,0.2857142857142857,0.2857142857142857,0.5,1.0,0,157
2022-23,1630637,Carlik Jones,7,15,2,1,13,0.13333333333333333,0.2857142857142857,0.5,1.0,0,157
2021-22,1630792,Malcolm Hill,16,44,2,1,42,0.045454545454545456,0.125,0.5,1.0,0,157
2020-21,1629653,Devon Dotson,11,21,2,1,19,0.09523809523809523,0.18181818181818182,0.5,1.0,0,157
2018-19,1628959,Rawle Alkins,10,39,2,1,37,0.05128205128205128,0.2,0.5,1.0,0,157
2023-24,1630678,Terry Taylor,31,39,3,1,36,0.07692307692307693,0.0967741935483871,0.3333333333333333,0.6666666666666666,0,157
2023-24,1641766,Adama Sanogo,9,27,3,1,24,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,157
2019-20,1626245,Cristiano Felicio,22,54,3,1,51,0.05555555555555555,0.13636363636363635,0.3333333333333333,0.6666666666666666,0,157
