season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2003,2002-03,2424,Dan Dickau,50,518.12,183,43,85,14,2,53,170,26,-13.8
2003,2002-03,2429,Dan Gadzuric,49,759.3583333333333,169,197,9,22,52,27,145,56,-2.3
2003,2002-03,2484,Devin Brown,10,92.18,30,18,7,4,1,9,35,8,-8.6
2003,2002-03,2400,Drew Gooden,70,1875.57,875,455,83,53,35,150,777,212,-3.9
2003,2002-03,981,Efthimios Rentzias,35,143.38166666666666,52,26,7,6,2,4,59,9,-5.0
2003,2002-03,2436,Flip Murray,14,62.90833333333333,27,4,5,4,0,8,31,8,0.6
2003,2002-03,2421,Frank Williams,21,167.415,28,18,34,7,2,17,33,6,-23.8
2003,2002-03,2410,Fred Jones,19,112.55833333333334,23,9,5,6,1,6,24,4,-2.7
2003,2002-03,1921,Gordan Giricek,76,2154.391666666667,935,238,137,52,8,145,803,183,-3.9
2003,2002-03,2462,Guy Rucker,3,3.225,0,1,1,0,0,0,0,0,-47.5
2003,2002-03,2080,Igor Rakocevic,42,240.12166666666667,78,17,33,4,0,23,58,36,12.3
2003,2002-03,2452,J.R. Bremer,64,1500.9383333333333,528,145,164,38,3,59,464,111,-2.7
2003,2002-03,2441,Jamal Sampson,5,8.818333333333333,0,2,1,1,0,0,2,0,17.9
2003,2002-03,2457,Jannero Pargo,34,339.12,85,37,39,13,2,23,93,4,0.9
2003,2002-03,2407,Jared Jeffries,20,290.34166666666664,79,58,16,8,5,21,63,29,8.0
2003,2002-03,2398,Jay Williams,75,1961.19,714,195,350,86,17,171,685,161,-9.6
2003,2002-03,2412,Jiri Welsch,37,229.95333333333335,61,28,27,8,2,19,75,29,1.0
2003,2002-03,2422,John Salmons,64,495.165,132,59,47,17,6,29,116,35,1.8
2003,2002-03,2413,Juan Dixon,42,648.4683333333334,270,72,40,26,3,42,271,46,-2.1
2003,2002-03,1038,Juaquin Hawkins,58,680.8,134,78,47,29,6,29,148,20,2.6
2003,2002-03,2454,Junior Harrington,82,2000.345,418,250,277,80,15,157,467,112,-7.1
2003,2002-03,2416,Kareem Rush,76,874.7516666666667,227,94,68,10,11,63,244,23,-3.6
2003,2002-03,2256,Ken Johnson,16,155.59833333333333,32,32,0,1,12,6,37,6,-2.4
2003,2002-03,2437,Lonny Baxter,55,683.6466666666666,262,165,16,9,22,46,206,103,-2.8
2003,2002-03,1766,Maceo Baston,16,104.115,40,23,0,4,11,6,25,12,-11.3
2003,2002-03,1938,Manu Ginobili,69,1434.42,525,161,138,96,17,100,397,171,5.5
2003,2002-03,2409,Marcus Haislip,39,441.32666666666665,161,53,9,7,18,21,153,38,-5.5
2003,2002-03,2060,Marko Jaric,66,1383.6583333333333,490,160,193,97,11,103,446,105,1.2
2003,2002-03,2246,Mehmet Okur,72,1365.9433333333334,494,335,71,25,39,66,423,131,4.9
2003,2002-03,2408,Melvin Ely,52,802.9716666666667,236,174,15,10,32,50,186,74,3.0
2003,2002-03,2471,Mike Batiste,75,1249.4916666666666,481,257,52,42,16,69,467,88,-5.7
2003,2002-03,2399,Mike Dunleavy,82,1306.145,466,214,106,53,19,86,417,100,1.6
2003,2002-03,2366,Mike Wilks,46,689.7216666666667,147,71,92,27,4,28,148,47,-1.6
2003,2002-03,1572,Nate Huffman,7,78.10833333333333,23,23,5,1,3,3,25,8,-0.7
2003,2002-03,2403,Nene,80,2258.3283333333334,839,491,149,127,65,181,619,341,-5.6
2003,2002-03,2401,Nikoloz Tskitishvili,81,1319.9883333333332,315,181,91,31,29,84,393,65,-8.1
2003,2002-03,2469,Pat Burke,62,786.1816666666666,267,146,23,19,25,47,296,58,-12.2
2003,2002-03,2321,Paul Shirley,2,5.85,0,1,0,0,0,0,4,0,80.0
2003,2002-03,2453,Predrag Savovic,27,255.87,83,25,22,14,1,21,93,29,-8.7
2003,2002-03,2417,Qyntel Woods,53,334.97833333333335,128,53,12,15,1,23,118,20,-11.0
2003,2002-03,2446,Rasual Butler,72,1515.2966666666666,540,186,93,21,43,77,572,104,-7.6
2003,2002-03,2501,Reggie Evans,67,1369.15,212,445,34,38,11,52,140,154,0.0
2003,2002-03,2425,Robert Archibald,12,72.18166666666667,19,17,3,0,3,7,20,18,-8.7
2003,2002-03,2427,Roger Mason Jr.,17,114.24,30,12,12,4,0,5,31,2,-2.5
2003,2002-03,2415,Ryan Humphrey,48,443.26166666666666,93,99,11,9,18,23,120,39,-6.0
2003,2002-03,2253,Sean Lampley,35,487.7816666666667,169,83,31,7,3,25,129,82,0.0
2003,2002-03,2470,Smush Parker,66,1101.3616666666667,408,119,162,48,12,133,338,118,-9.4
2003,2002-03,2447,Tamar Slay,36,273.64166666666665,92,31,14,14,3,20,103,10,-3.2
2003,2002-03,2419,Tayshaun Prince,42,435.4533333333333,137,45,24,10,14,21,118,17,-5.0
2003,2002-03,2432,Tito Maddox,9,34.028333333333336,11,7,5,3,1,3,12,8,-7.1
2003,2002-03,2428,Vincent Yarbrough,59,1379.2516666666668,406,162,130,57,33,81,428,62,-6.1
2003,2002-03,2397,Yao Ming,82,2381.8933333333334,1104,675,137,31,147,173,805,371,2.8
2004,2003-04,2682,Alex Garcia,2,12.678333333333333,3,0,0,2,0,1,7,2,8.6
2004,2003-04,1052,Ben Handlogten,17,171.47833333333332,68,55,6,3,4,10,47,27,-1.7
2004,2003-04,2564,Boris Diaw,76,1915.235,342,342,182,59,37,126,313,93,-5.9
2004,2003-04,2599,Brandon Hunter,36,404.8016666666667,125,118,19,13,1,22,116,43,0.1
2004,2003-04,2567,Brian Cook,35,437.77166666666665,155,101,20,16,16,17,141,28,-1.7
2004,2003-04,2639,Britton Johnsen,20,291.81166666666667,42,45,12,7,1,14,59,16,-15.7
2004,2003-04,2546,Carmelo Anthony,82,2991.2316666666666,1725,498,227,97,41,247,1465,525,1.1
2004,2003-04,2547,Chris Bosh,75,2516.485,861,557,78,59,106,107,712,288,-3.2
2004,2003-04,2549,Chris Kaman,82,1850.2966666666666,499,461,85,23,73,155,435,142,-5.7
2004,2003-04,2414,Curtis Borchardt,16,257.4716666666667,58,54,15,4,14,18,56,18,-5.7
2004,2003-04,2563,Dahntay Jones,20,154.38666666666666,36,23,12,5,6,12,53,11,-13.9
2004,2003-04,2443,Darius Songaila,73,973.665,337,225,48,42,12,43,273,88,6.5
2004,2003-04,2545,Darko Milicic,34,159.595,48,43,7,7,15,13,65,24,-14.9
2004,2003-04,2561,David West,71,929.0383333333333,273,297,60,27,28,48,228,80,-4.1
2004,2003-04,2724,Desmond Ferguson,7,30.71,13,4,1,0,0,1,12,2,19.4
2004,2003-04,2667,Desmond Penigar,10,86.35666666666667,32,24,3,2,2,6,28,4,10.6
2004,2003-04,2548,Dwyane Wade,61,2135.85,991,247,275,86,34,196,798,312,2.2
2004,2003-04,1922,Francisco Elson,62,876.2216666666667,218,203,32,35,39,35,199,45,-1.0
2004,2003-04,2673,Hiram Fuller,4,42.526666666666664,8,11,2,0,1,4,8,6,2.7
2004,2003-04,2137,Ime Udoka,4,28.016666666666666,8,5,2,2,1,3,9,4,-8.0
2004,2003-04,2592,James Jones,6,26.015,7,2,0,1,0,0,9,2,-12.9
2004,2003-04,2553,Jarvis Hayes,70,2043.9633333333334,673,264,106,71,11,110,695,98,-6.8
2004,2003-04,2574,Jason Kapono,41,423.325,145,55,14,13,2,21,129,24,-7.5
2004,2003-04,2602,Jerome Beasley,2,5.116666666666666,2,1,0,0,0,0,3,0,33.3
2004,2003-04,2668,Josh Davis,4,22.348333333333333,5,5,0,0,0,2,5,1,-8.3
2004,2003-04,2572,Josh Howard,67,1586.435,575,368,97,69,54,67,532,138,7.2
2004,2003-04,2079,Kaniel Dickens,3,13.133333333333333,7,2,0,0,0,1,3,2,-11.1
2004,2003-04,2586,Keith Bogans,73,1786.045,498,317,98,46,10,75,454,103,-9.6
2004,2003-04,2693,Keith McLeod,33,385.295,88,34,59,16,1,29,82,43,-7.4
2004,2003-04,2570,Kendrick Perkins,10,35.208333333333336,22,14,3,0,2,5,15,9,28.7
2004,2003-04,2550,Kirk Hinrich,76,2709.2683333333334,915,259,517,101,21,204,823,168,-4.3
2004,2003-04,2632,Kirk Penney,2,17.113333333333333,3,1,1,1,0,3,6,0,-2.6
2004,2003-04,2594,Kyle Korver,74,861.7716666666666,330,111,40,25,8,41,327,24,-0.9
2004,2003-04,2544,LeBron James,79,3126.865,1654,432,465,130,58,273,1492,460,-2.0
