season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
2005,2004–05,2876,Jared Reiner,0020400713,2005-02-08,CHI @ DAL,DAL,W,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-2,-1.8,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-08,CHI @ DAL,W,107,7,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400692,2005-02-05,CHI @ MIA,MIA,L,29.94,25,10,17,3,4,2,4,0,3,3,1,1,0,3,2,4,15.099999999999998,66.63113006396588,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-05,CHI @ MIA,L,97,-11,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400692,2005-02-05,CHI @ MIA,MIA,L,32.461666666666666,18,7,12,0,1,4,4,4,5,9,3,0,0,4,3,5,13.600000000000005,65.40697674418605,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-05,CHI @ MIA,L,97,-11,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400692,2005-02-05,CHI @ MIA,MIA,L,18.148333333333333,5,1,5,0,0,3,6,0,6,6,0,0,1,2,0,-21,1.2000000000000002,32.72251308900523,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-05,CHI @ MIA,L,97,-11,2000s,Regular season,,0
2005,2004–05,2876,Jared Reiner,0020400692,2005-02-05,CHI @ MIA,MIA,L,17.466666666666665,3,1,5,0,0,1,2,1,6,7,0,0,1,0,5,-5,0.6999999999999993,25.510204081632654,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-05,CHI @ MIA,L,97,-11,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400692,2005-02-05,CHI @ MIA,MIA,L,22.8,3,1,5,0,4,1,2,0,2,2,3,1,0,1,2,-7,1.3999999999999995,25.510204081632654,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-05,CHI @ MIA,L,97,-11,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400661,2005-02-01,CHI @ NJN,NJN,L,33.983333333333334,17,5,10,1,2,6,8,1,1,2,3,0,0,2,2,-1,11.499999999999998,62.8698224852071,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-01,CHI @ NJN,L,97,-10,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400661,2005-02-01,CHI @ NJN,NJN,L,24.69333333333333,7,3,6,1,2,0,0,0,1,1,0,2,0,4,3,-7,1.0999999999999996,58.333333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-01,CHI @ NJN,L,97,-10,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400661,2005-02-01,CHI @ NJN,NJN,L,20.766666666666666,3,1,2,1,1,0,0,0,2,2,3,0,0,1,3,-3,2.499999999999999,75.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-01,CHI @ NJN,L,97,-10,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400661,2005-02-01,CHI @ NJN,NJN,L,11.916666666666666,4,2,5,0,1,0,0,0,1,1,2,0,0,1,1,-7,1.6,40.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-01,CHI @ NJN,L,97,-10,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400643,2005-01-29,CHI vs. BOS,BOS,L,28.87,31,11,21,5,9,4,6,2,1,3,1,1,0,1,5,3,20.299999999999997,65.5668358714044,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-29,CHI vs. BOS,L,97,-4,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400643,2005-01-29,CHI vs. BOS,BOS,L,28.05,8,3,9,1,3,1,2,3,3,6,3,2,0,3,2,9,5.799999999999999,40.48582995951417,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-29,CHI vs. BOS,L,97,-4,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400643,2005-01-29,CHI vs. BOS,BOS,L,19.101666666666667,5,2,5,0,2,1,2,1,1,2,1,0,0,0,6,-10,1.1999999999999993,42.51700680272109,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-29,CHI vs. BOS,L,97,-4,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400643,2005-01-29,CHI vs. BOS,BOS,L,18.733333333333334,5,2,5,1,4,0,2,0,0,0,2,0,0,0,4,-9,1.2999999999999994,42.51700680272109,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-29,CHI vs. BOS,L,97,-4,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400625,2005-01-27,CHI vs. CHA,CHA,W,24.183333333333337,17,7,8,2,2,1,1,2,2,4,1,1,0,0,2,8,17.1,100.71090047393365,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-27,CHI vs. CHA,W,101,8,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400625,2005-01-27,CHI vs. CHA,CHA,W,24.253333333333337,6,2,5,1,3,1,1,0,4,4,6,2,0,4,4,-3,5.1,55.147058823529406,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-27,CHI vs. CHA,W,101,8,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400625,2005-01-27,CHI vs. CHA,CHA,W,17.063333333333333,12,5,7,1,1,1,1,0,2,2,3,0,0,0,0,-5,11.8,80.64516129032258,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-27,CHI vs. CHA,W,101,8,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400625,2005-01-27,CHI vs. CHA,CHA,W,7.383333333333334,6,2,4,0,1,2,2,0,0,0,0,0,0,0,1,2,3.6,61.47540983606557,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-27,CHI vs. CHA,W,101,8,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400609,2005-01-25,CHI vs. DEN,DEN,W,28.458333333333332,18,7,16,1,5,3,3,1,2,3,6,0,0,2,4,15,11.5,51.96304849884527,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-25,CHI vs. DEN,W,111,4,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400609,2005-01-25,CHI vs. DEN,DEN,W,32.778333333333336,12,3,9,2,4,4,4,0,5,5,1,2,1,1,5,10,8.799999999999997,55.762081784386616,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-25,CHI vs. DEN,W,111,4,2000s,Regular season,,0
