game_id,assister_id,scorer_id,scorer_name,shot_value,season_end_year,season
0021900298,203897,1627739,Dunn,2,2020,2019-20
0021900298,203107,1628976,Carter Jr.,2,2020,2019-20
0021900298,203107,1627739,Dunn,2,2020,2019-20
0021900298,203897,1628374,Markkanen,3,2020,2019-20
0021900298,1627739,203897,LaVine,2,2020,2019-20
0021900298,1628976,203897,LaVine,3,2020,2019-20
0021900298,1627756,1629655,Gafford,2,2020,2019-20
0021900298,203107,1629632,White,3,2020,2019-20
0021900298,203107,1629632,White,3,2020,2019-20
0021900298,203107,1628374,Markkanen,3,2020,2019-20
0021900298,1627739,203897,LaVine,3,2020,2019-20
0021900311,203107,1628374,Markkanen,3,2020,2019-20
0021900311,203107,1628976,Carter Jr.,2,2020,2019-20
0021900311,203107,1628374,Markkanen,3,2020,2019-20
0021900311,1627739,203897,LaVine,3,2020,2019-20
0021900311,1627739,1628374,Markkanen,2,2020,2019-20
0021900311,203107,203897,LaVine,2,2020,2019-20
0021900311,201152,1627853,Arcidiacono,3,2020,2019-20
0021900311,201152,1627756,Valentine,3,2020,2019-20
0021900311,1627853,1627756,Valentine,2,2020,2019-20
0021900311,1629632,1627756,Valentine,3,2020,2019-20
0021900311,1627756,1629632,White,3,2020,2019-20
0021900311,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900311,203107,1627739,Dunn,3,2020,2019-20
0021900311,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900311,1627739,203897,LaVine,2,2020,2019-20
0021900311,203897,1628374,Markkanen,3,2020,2019-20
0021900311,203107,203897,LaVine,2,2020,2019-20
0021900311,203107,1628976,Carter Jr.,2,2020,2019-20
0021900311,1627756,201152,Young,3,2020,2019-20
0021900311,203107,203897,LaVine,3,2020,2019-20
0021900311,203897,1627739,Dunn,3,2020,2019-20
0021900311,203897,1628374,Markkanen,3,2020,2019-20
0021900325,1628976,203107,Satoransky,2,2020,2019-20
