PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
101124,2009-10,00,0,TOT,27.0,76,6,1557,265,550,0.482,1,7,0.143,202,274,0.737,127,187,314,52,24,18,80,126,733
101124,2010-11,00,1610612756,PHX,28.0,80,6,1416,228,446,0.511,1,11,0.091,212,294,0.721,88,208,296,69,32,9,79,100,669
101124,2011-12,00,1610612756,PHX,29.0,35,0,503,74,180,0.411,1,10,0.1,76,99,0.768,31,61,92,30,8,3,36,35,225
101124,2012-13,00,1610612740,NOH,30.0,1,0,7,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,1,0,0,0,4
101124,2012-13,00,1610612766,CHA,30.0,27,14,482,66,163,0.405,0,3,0.0,58,86,0.674,21,68,89,25,12,6,29,37,190
101124,2012-13,00,0,TOT,30.0,28,14,489,67,165,0.406,0,3,0.0,60,88,0.682,21,68,89,25,13,6,29,37,194
201633,2008-09,00,1610612744,GSW,24.0,40,5,442,51,131,0.389,15,38,0.395,40,50,0.8,33,48,81,20,14,19,16,78,157
2484,2002-03,00,1610612759,SAS,24.0,7,0,22,5,10,0.5,0,0,0.0,2,2,1.0,4,3,7,2,0,0,5,3,12
2484,2002-03,00,1610612743,DEN,24.0,3,2,71,7,25,0.28,0,1,0.0,4,6,0.667,4,7,11,5,4,1,4,11,18
2484,2002-03,00,0,TOT,24.0,10,2,93,12,35,0.343,0,1,0.0,6,8,0.75,8,10,18,7,4,1,9,14,30
2484,2003-04,00,1610612759,SAS,25.0,58,0,626,85,196,0.434,4,14,0.286,60,74,0.811,38,92,130,33,15,4,38,61,234
2484,2004-05,00,1610612759,SAS,26.0,67,0,1237,173,409,0.423,45,121,0.372,103,130,0.792,37,139,176,92,39,12,53,83,494
2484,2005-06,00,1610612762,UTA,27.0,81,14,1711,207,527,0.393,39,118,0.331,158,212,0.745,73,134,207,104,44,14,99,153,611
2484,2006-07,00,1610612740,NOK,28.0,58,49,1662,233,555,0.42,81,227,0.357,123,155,0.794,55,196,251,149,44,9,91,139,670
2484,2007-08,00,1610612739,CLE,29.0,78,20,1762,217,531,0.409,45,146,0.308,107,142,0.754,65,198,263,175,52,7,99,144,586
2484,2008-09,00,1610612740,NOH,30.0,63,5,869,111,313,0.355,28,97,0.289,78,100,0.78,31,88,119,54,32,5,54,81,328
2484,2009-10,00,1610612740,NOH,31.0,39,37,967,128,325,0.394,54,147,0.367,69,86,0.802,27,82,109,58,30,5,57,62,379
2484,2009-10,00,1610612741,CHI,31.0,11,0,93,8,36,0.222,4,17,0.235,0,0,0.0,2,13,15,7,3,1,5,10,20
2484,2009-10,00,0,TOT,31.0,50,37,1060,136,361,0.377,58,164,0.354,69,86,0.802,29,95,124,65,33,6,62,72,399
201181,2007-08,00,1610612750,MIN,23.0,52,3,556,41,87,0.471,0,0,0.0,16,27,0.593,52,83,135,18,10,12,24,83,98
201181,2009-10,00,1610612741,CHI,25.0,18,0,224,15,29,0.517,0,0,0.0,7,11,0.636,19,40,59,7,8,4,14,50,37
1802,1998-99,00,1610612766,CHH,23.0,38,0,469,78,138,0.565,1,2,0.5,81,102,0.794,35,82,117,22,9,18,32,65,238
1802,1999-00,00,1610612766,CHH,24.0,55,4,961,135,293,0.461,0,2,0.0,153,195,0.785,113,180,293,45,23,35,48,111,423
1802,2000-01,00,1610612741,CHI,25.0,57,45,1434,168,386,0.435,1,5,0.2,168,226,0.743,144,275,419,107,33,38,73,176,505
1802,2001-02,00,1610612741,CHI,26.0,48,47,1391,208,452,0.46,2,4,0.5,190,253,0.751,176,225,401,101,52,29,74,156,608
1802,2001-02,00,1610612754,IND,26.0,28,28,872,158,281,0.562,1,3,0.333,107,130,0.823,76,144,220,51,24,12,41,88,424
1802,2001-02,00,0,TOT,26.0,76,75,2264,366,733,0.499,3,7,0.429,297,383,0.775,252,369,621,152,76,41,115,244,1032
1802,2002-03,00,1610612754,IND,27.0,73,72,2270,329,667,0.493,5,16,0.313,292,357,0.818,185,418,603,193,65,43,118,203,955
